Id_chunk_data_gz,Id_chunk_llm_gz,dataini,datafim,total_ok,lista_id_err,status
1185,1185,2026-06-07T00:39:54.682633,2026-02-19T06:05:30.619259,415,[],em_processamento
1186,1186,2026-06-07T00:39:55.586965,2026-02-19T06:25:29.132873,377,[],em_processamento
1187,1187,2026-06-07T00:39:56.529255,2026-02-19T06:37:51.589057,300,[],em_processamento
1188,1188,2026-06-07T00:39:57.441962,2026-02-19T06:53:14.740384,312,[],em_processamento
1189,1189,2026-06-07T00:39:58.294695,2026-02-19T07:04:07.370269,283,[],em_processamento
1190,1190,2026-06-07T00:39:59.179492,2026-02-19T07:16:30.330162,293,[],em_processamento
1191,1191,2026-06-07T00:40:00.000435,2026-02-19T07:25:19.241408,253,[],em_processamento
1192,1192,2026-06-07T00:40:00.878985,2026-02-19T07:38:11.713266,284,[],em_processamento
1193,1193,2026-06-07T00:40:01.712944,2026-02-19T07:52:09.595217,404,[],em_processamento
1194,1194,2026-06-07T00:40:02.786555,2026-02-19T08:07:04.349898,360,[],em_processamento
1195,1195,2026-06-07T00:40:03.699941,2026-02-19T08:28:03.402851,375,[],em_processamento
1196,1196,2026-06-07T00:40:04.659128,2026-02-19T08:47:31.551831,383,[],em_processamento
1197,1197,2026-06-07T00:40:05.587845,2026-02-19T09:01:32.019565,386,[],em_processamento
1198,1198,2026-06-07T00:40:06.580373,2026-02-19T09:16:56.488260,321,[],em_processamento
1199,1199,2026-06-07T00:40:07.483110,2026-02-19T09:41:54.587926,336,[],em_processamento
1200,1200,2026-06-07T00:40:08.376558,2026-02-19T09:54:52.904481,381,[],em_processamento
1201,1201,2026-06-07T00:40:09.255698,2026-02-19T10:09:47.976024,335,[],em_processamento
1202,1202,2026-06-07T00:40:10.114975,2026-02-19T10:21:42.356908,336,[],em_processamento
1203,1203,2026-06-07T00:40:10.991565,2026-02-19T10:33:04.915511,319,[],em_processamento
1204,1204,2026-06-07T00:40:11.859569,2026-02-19T10:51:01.533174,355,[],em_processamento
1205,1205,2026-06-07T00:40:12.726322,2026-02-19T11:04:27.797820,267,[],em_processamento
1206,1206,2026-06-07T00:40:13.631987,2026-02-19T11:18:23.163324,314,[],em_processamento
1207,1207,2026-06-07T00:40:14.475480,2026-02-19T11:33:21.012206,389,[],em_processamento
1208,1208,2026-06-07T00:40:15.469022,2026-02-19T11:44:44.384670,312,[],em_processamento
1209,1209,2026-06-07T00:40:16.373726,2026-02-19T12:01:39.702654,393,[],em_processamento
1210,1210,2026-06-07T00:40:17.325708,2026-02-19T12:18:35.703191,371,[],em_processamento
1211,1211,2026-06-07T00:40:18.346505,2026-02-19T12:35:36.885199,418,[],em_processamento
1212,1212,2026-06-07T00:40:19.285918,2026-02-19T12:48:03.664107,372,[],em_processamento
1213,1213,2026-06-07T00:40:20.192633,2026-02-19T13:04:02.944786,392,[],em_processamento
1214,1214,2026-06-07T00:40:21.110286,2026-02-19T13:26:00.750620,357,[],em_processamento
1215,1215,2026-06-07T00:40:22.029998,2026-02-19T13:41:27.842291,347,[],em_processamento
1216,1216,2026-06-07T00:40:22.905787,2026-02-19T13:53:19.612045,304,[],em_processamento
1217,1217,2026-06-07T00:40:23.765795,2026-02-19T14:13:15.219128,370,[],em_processamento
1218,1218,2026-06-07T00:40:24.774326,2026-02-19T14:51:50.100842,422,[],em_processamento
1219,1219,2026-06-07T00:40:25.748823,2026-02-19T15:29:26.440963,401,[],em_processamento
1220,1220,2026-06-07T00:40:26.729993,2026-02-19T15:43:22.205824,308,[],em_processamento
1221,1221,2026-06-07T00:40:27.572624,2026-02-19T15:57:17.060539,368,[],em_processamento
1222,1222,2026-06-07T00:40:28.486411,2026-02-19T16:15:09.902740,292,[],em_processamento
1223,1223,2026-06-07T00:40:29.345426,2026-02-19T16:37:07.272587,306,[],em_processamento
1224,1224,2026-06-07T00:40:30.278891,2026-02-19T16:57:04.445128,321,[],em_processamento
1225,1225,2026-06-07T00:45:51.291682,2026-02-19T17:17:32.616741,358,[],em_processamento
1226,1226,2026-06-07T00:52:00.902915,2026-02-19T17:44:03.739923,416,[],em_processamento
1227,1227,2026-06-07T00:52:01.694572,2026-02-19T18:04:01.443416,324,[],em_processamento
1228,1228,2026-06-07T00:52:02.636451,2026-02-19T18:22:56.987250,304,[],em_processamento
1229,1229,2026-06-07T00:52:03.561970,2026-02-19T18:34:18.963005,265,[],em_processamento
1230,1230,2026-06-07T00:52:04.554397,2026-02-19T18:50:12.884459,280,[],em_processamento
1231,1231,2026-06-07T00:52:05.696880,2026-02-19T19:09:38.754758,325,[],em_processamento
1465,1465,2026-06-07T00:52:06.592243,2026-02-23T03:34:57.771075,378,[],em_processamento
1466,1466,2026-06-07T00:52:07.510655,2026-02-23T04:45:42.048199,392,[],em_processamento
1467,1467,2026-06-07T00:52:08.420242,2026-02-23T05:50:53.469952,380,[],em_processamento
1468,1468,2026-06-07T00:52:09.425327,2026-02-23T06:57:33.180043,336,[],em_processamento
1469,1469,2026-06-07T00:52:10.284349,2026-02-23T08:06:44.563830,355,[],em_processamento
1470,1470,2026-06-07T00:52:11.239607,2026-02-23T09:10:24.336895,357,[],em_processamento
1471,1471,2026-06-07T00:52:12.135785,2026-02-23T10:09:30.722704,283,[],em_processamento
1472,1472,2026-06-07T00:52:13.040048,2026-02-23T10:54:31.626097,271,[],em_processamento
1473,1473,2026-06-07T00:52:13.988884,2026-02-23T11:47:36.204711,298,[],em_processamento
1474,1474,2026-06-07T00:52:14.945486,2026-02-23T11:59:02.396849,298,[],em_processamento
1475,1475,2026-06-07T00:52:15.849910,2026-02-23T12:08:54.268069,282,[],em_processamento
